start_x,start_y,duration
-231.5042585248154,-632.8408934231923,142.0
-52.61252655632645,-902.330365446096,450.0
-398.99217334428573,-821.5864221928905,233.0
-685.1970556775792,-551.5664225295553,216.0
-1.514110933659274,-873.5995975524241,700.0
-328.7424077533857,-263.8429719641003,167.0
-17.675422710664385,-896.6507862662604,1050.0
-373.8509420892966,-841.0163872987789,200.0
-13.701078748655116,-889.4108836558897,1508.0
-19.441305350057753,-887.2620280090418,683.0
-452.5171373472334,-632.9024254282109,92.0
-1.8703097484109588,-903.6087980402842,333.0
