ppt_id,condition,p_correct,hn_enc,dwell_obj1_enc,dwell_table_enc,dwell_other_enc,t_first_array_enc,t_first_obj1_enc,hn_ret,dwell_obj1_ret,dwell_table_ret,dwell_other_ret,t_first_array_ret,t_first_obj1_ret,hn_diff,dwell_total_diff,dwell_obj1_diff,dwell_table_diff,dwell_other_diff,t_first_array_diff,t_first_obj1_diff,pupil_diam_centre_diff,pupil_diam_spread_diff,group,dwell_MO-SOs_ret,4MT
alloeye_56,StayStay,,,,,,,,,,,,,,,,,,,,,,,O,,0.0
alloeye_56,WalkStay,,,,,,,,,,,,,,,,,,,,,,,O,,0.0
alloeye_56,TeleportStay,,,,,,,,,,,,,,,,,,,,,,,O,,0.0
alloeye_56,StayRotate,,,,,,,,,,,,,,,,,,,,,,,O,,0.0
alloeye_56,WalkRotate,,,,,,,,,,,,,,,,,,,,,,,O,,0.0
alloeye_56,TeleportRotate,,,,,,,,,,,,,,,,,,,,,,,O,,0.0
alloeye_25,StayStay,1.0,0.6199970771749587,0.1250952380952381,0.1647142857142857,0.04453968253968254,425.6666666666667,2788.0,0.6746698327060507,0.17855555555555555,0.24276190476190476,0.10222222222222221,277.77777777777777,2120.777777777778,0.0546727555310921,-0.023190476190476192,0.05346031746031746,0.07804761904761905,0.05768253968253968,-147.88888888888889,-667.2222222222222,0.0390721666666666,0.0088357777777776,Y,-0.24123809523809522,3216.819222465437
alloeye_25,WalkStay,0.8888888888888888,0.579942255905712,0.21409523809523812,0.3026507936507937,0.03582539682539682,330.44444444444446,1991.2222222222224,0.5881936404788282,0.3533174603174603,0.2760952380952381,0.07011111111111111,214.88888888888889,1620.888888888889,0.0082513845731162,0.048523809523809525,0.13922222222222225,-0.026555555555555554,0.03428571428571429,-115.55555555555556,-370.3333333333333,0.1155721388888887,-0.0315151388888889,Y,0.02346031746031744,2324.975786690036
alloeye_25,TeleportStay,0.6666666666666666,0.5351528759884896,0.21842857142857142,0.20725396825396827,0.039,566.5555555555555,1864.125,0.5491908163918519,0.20595238095238097,0.41926984126984124,0.036904761904761905,241.66666666666663,2151.5,0.0140379404033622,0.047698412698412705,-0.012476190476190476,0.21201587301587302,-0.0020952380952380953,-324.8888888888889,287.375,0.1314031666666667,-0.0324005972222222,Y,-0.1388095238095238,2433.5583754384124
alloeye_25,StayRotate,1.0,0.6620163710504867,0.21434920634920634,0.16933333333333334,0.04179365079365079,546.3333333333334,1993.375,0.5489129462272805,0.17003174603174603,0.27379365079365087,0.10103174603174603,619.2222222222222,1907.0,-0.1131034248232062,0.06152380952380953,-0.04431746031746032,0.10446031746031745,0.05923809523809524,72.88888888888889,60.375,0.1506753333333333,-0.0299520416666666,Y,-0.29998412698412696,2542.8895959839447
alloeye_25,WalkRotate,1.0,0.5344221490152836,0.18284126984126983,0.17482539682539683,0.046190476190476185,496.3333333333333,1986.875,0.6596869198648201,0.13726984126984126,0.33555555555555555,0.07077777777777777,177.88888888888889,1948.0,0.1252647708495364,0.03323809523809523,-0.04557142857142857,0.16073015873015872,0.024587301587301588,-318.44444444444446,-73.5,0.0645179444444444,0.0163242222222222,Y,-0.29703174603174604,2486.349902719673
alloeye_25,TeleportRotate,1.0,0.579695425368974,0.1783015873015873,0.22652380952380954,0.04323809523809524,469.3333333333333,1147.5,0.6610277293596765,0.179984126984127,0.3628095238095238,0.09114285714285714,218.66666666666663,2296.0,0.0813323039907024,0.06796825396825397,0.0016825396825396828,0.1362857142857143,0.0479047619047619,-250.66666666666663,1091.7142857142858,0.0774433888888889,0.026395875,Y,-0.21887301587301583,1620.156056488062
alloeye_3,StayStay,1.0,0.4048131534860226,0.18119047619047618,0.16885714285714284,0.04168253968253968,463.77777777777777,2574.428571428572,0.5180792936850279,0.09852380952380951,0.24088888888888887,0.04022222222222222,393.44444444444446,4077.428571428572,0.1198807787082071,-0.20453968253968255,-0.08266666666666667,0.07203174603174603,-0.00146031746031746,-70.33333333333333,1503.0,0.2884512777777779,0.150040847222222,O,-0.18411111111111111,3040.9006067328855
alloeye_3,WalkStay,0.7777777777777778,0.4686712697258191,0.149984126984127,0.07868253968253969,0.04626984126984127,516.3333333333334,2722.4444444444443,0.4608716707538711,0.15422222222222223,0.17004761904761903,0.02866666666666666,15.0,2551.1111111111118,-0.0077995989719479,-0.3011111111111111,0.004238095238095238,0.09136507936507936,-0.017603174603174607,-501.3333333333333,-171.33333333333334,0.2895233055555553,0.115074763888889,O,-0.20223809523809522,3241.1129715119087
alloeye_3,TeleportStay,0.6666666666666666,0.3887915559059213,0.2082857142857143,0.07484126984126985,0.04206349206349207,479.44444444444446,1295.0,0.5268559201455674,0.1206031746031746,0.20114285714285715,0.042206349206349206,499.0,710.0,0.138064364239646,-0.10971428571428571,-0.0876825396825397,0.1263015873015873,0.00014285714285714287,19.55555555555556,-1086.2,0.2757446388888884,0.2075630972222223,O,-0.27536507936507937,1776.7159014443055
alloeye_3,StayRotate,0.7777777777777778,0.447755259618827,0.11544444444444445,0.07898412698412699,0.044825396825396824,401.77777777777777,2762.0,0.4857864026840928,0.0904920634920635,0.3135238095238095,0.06323809523809525,498.22222222222223,1651.857142857143,0.0380311430652657,-0.2989523809523809,-0.02495238095238095,0.23453968253968255,0.018412698412698412,96.44444444444444,-1416.7142857142858,0.3190244166666668,0.1185464722222221,O,-0.16563492063492066,3166.195605154366
alloeye_3,WalkRotate,1.0,0.3927264095877172,0.16006349206349205,0.133968253968254,0.04285714285714286,364.1111111111111,1444.5,0.4439686924981954,0.09206349206349207,0.27014285714285713,0.03042857142857143,163.22222222222223,2346.2,0.0512422829104781,6.349206349206349e-05,-0.068,0.13617460317460317,-0.012428571428571428,-200.88888888888889,1118.2,0.3167669166666663,0.0117102499999997,O,-0.33249206349206345,1811.1773300227208
alloeye_3,TeleportRotate,0.8888888888888888,0.4847491612120925,0.12787301587301586,0.10925396825396826,0.04642857142857143,559.2222222222222,3196.6666666666665,0.6652718764095702,0.13868253968253968,0.23347619047619048,0.03,298.0,1694.888888888889,0.1805227151974776,-0.16187301587301586,0.01080952380952381,0.12422222222222222,-0.016428571428571428,-261.22222222222223,-1501.7777777777778,0.208795722222222,0.0413657083333331,O,-0.1967936507936508,3758.6135131011133
alloeye_4,StayStay,0.8888888888888888,0.452037780145112,0.2233809523809524,0.13569841269841268,0.03361904761904762,330.55555555555554,738.375,0.4706169972147597,0.3695873015873017,0.16385714285714287,0.07363492063492064,356.22222222222223,1264.0,0.0185792170696478,-0.0460952380952381,0.1462063492063492,0.02815873015873016,0.04001587301587301,25.666666666666668,525.625,0.16938875,-0.00976925,O,0.02280952380952387,1071.741876999582
alloeye_4,WalkStay,0.7777777777777778,0.4484256399628076,0.2626825396825397,0.06758730158730158,0.047603174603174606,410.1111111111111,1638.25,0.6028731894376614,0.22347619047619047,0.19544444444444445,0.04507936507936508,423.8888888888889,1958.875,0.1544475494748539,0.07688888888888888,-0.03920634920634921,0.12785714285714286,-0.002523809523809524,13.77777777777778,320.625,0.1453294166666668,-0.0400274027777777,O,-0.2968730158730159,2051.0320607341623
alloeye_4,TeleportStay,0.7777777777777778,0.396856007803218,0.23901587301587301,0.06547619047619048,0.03373015873015873,-126.44444444444444,1164.5555555555557,0.667484227018946,0.2834761904761905,0.12382539682539684,0.06504761904761905,378.55555555555554,1843.125,0.2706282192157279,-0.0005555555555555556,0.044460317460317464,0.05834920634920635,0.03131746031746032,505.0,720.5,0.1565090000000001,-0.0206235972222221,O,-0.1936984126984127,1040.7638005522829
alloeye_4,StayRotate,0.5555555555555556,0.4688853278799628,0.24074603174603174,0.11158730158730158,0.03422222222222222,206.44444444444449,1651.4444444444443,0.5542549170760065,0.3344285714285714,0.12780952380952382,0.07855555555555556,628.6666666666666,1848.6666666666667,0.0853695891960436,0.023333333333333334,0.09368253968253969,0.01622222222222222,0.04433333333333333,422.22222222222223,197.22222222222223,0.1522085555555554,-0.0179077916666665,O,-0.11336507936507939,1860.3949338957493
alloeye_4,WalkRotate,0.6666666666666666,0.5353575870479954,0.20276190476190475,0.08341269841269841,0.02765079365079365,28.88888888888889,1624.75,0.7167869231543467,0.16387301587301586,0.1719047619047619,0.0516031746031746,306.44444444444446,2524.625,0.1814293361063512,-0.03338095238095237,-0.03888888888888889,0.0884920634920635,0.02395238095238095,277.55555555555554,899.875,0.1563695555555556,0.0213773888888888,O,-0.404968253968254,1656.258906414964
